,credit_reporting,debt_collection,mortgages_and_loans,credit_card,retail_banking
credit,0.5055949113985304,0.3724591832619356,0.1362709028570217,0.3705445813075398,0.06134361264366015
account,0.41631819087739086,0.32580833028607886,0.16331928055463982,0.31443127673093113,0.5905906459103158
report,0.3142724465276868,0.18830956596747095,0.04244035733373073,0.052803972407914505,0.025841392761679557
information,0.24109855669492858,0.15348676981762763,0.07690801510313795,0.06407359006346772,0.06538215512837617
reporting,0.18095867398054363,0.09579384110144074,0.019931748910808744,0.016837345425856288,0.0038141790133428967
credit report,0.17564088966882505,0.11677570203510632,0.023139852531594014,0.025379000077485905,0.0016365335558979903
consumer,0.11248200930217396,0.07092041528012408,0.024263985875804486,0.02408209963299764,0.01711761308064269
payment,0.10268668683701938,0.11404393850559755,0.4071092141956077,0.19842576800670478,0.06298014619955815
dispute,0.0948481640504529,0.05411767328984735,0.00864717957084978,0.08818923022520213,0.04071537112859113
letter,0.08761661153455959,0.11802176960996996,0.07897469102057104,0.06977547994871786,0.04029303988835939
day,0.08735842268807921,0.06519808957094256,0.10838374874103116,0.095120939497467,0.130473957529093
bureau,0.08331799372210562,0.06023298954187048,0.01693117759972387,0.015305661280210664,0.0038537725671146223
inquiry,0.08142687366235901,0.008166535182952522,0.008188879053594743,0.009246005755101693,0.0036294090957415107
agency,0.07913488144623498,0.08851872349127529,0.010878151900129024,0.011113095188114973,0.004962392072722938
company,0.07862076856771705,0.17720039428080198,0.12392273042984821,0.08153702535907696,0.0443315823730754
item,0.07776919833722037,0.027950254217710746,0.006407560061999688,0.022047307556300532,0.016682083989153707
identity,0.07565839127652116,0.04603740432361616,0.002697920026105132,0.013405031318460617,0.011944055387803881
please,0.07176517524933024,0.06311811523443939,0.03285063518965832,0.03051070097421103,0.030434244999199722
time,0.07132353643298223,0.10811073982220834,0.1573094907528992,0.13930499602003277,0.11351471866353721
date,0.07058294211018326,0.05261280706481972,0.052445144097203925,0.04042751730404803,0.022291170773481497
collection,0.06911760716568499,0.21094007015403304,0.01142292421309256,0.0073677361458428245,0.002811142317792516
file,0.06802370178980761,0.04536644486022804,0.02319173560901911,0.0197441912497093,0.019506424158203466
remove,0.06670557978409201,0.031976010998039456,0.010411204203303137,0.010956572720676735,0.0051735576928388085
also,0.0645064449601232,0.07637435720395035,0.0690996119506606,0.0582598984157617,0.06134361264366015
sent,0.06405801170044677,0.09236236270297007,0.08604808390952617,0.06026114996372204,0.0772470234086366
debt,0.06293239892237004,0.4013104401876247,0.02014792840007999,0.013360310613478263,0.0056090867843277895
received,0.06270365266364619,0.11238571011750977,0.12348172427173487,0.11376947347510863,0.09597477434266279
balance,0.06075364742838652,0.05013984218547494,0.04893438919143891,0.09593709236339495,0.04128287873265253
never,0.059757129073549985,0.09632102353695997,0.07619029919875742,0.09042526547431982,0.06547454008717686
inaccurate,0.05971183278469378,0.018029639294757857,0.004064174398299397,0.0028509449426250685,0.0008182667779489952
theft,0.05904824215295036,0.041446124567003174,0.002334738484129441,0.009100663463909043,0.007997897861888566
section,0.05876061071871345,0.02554438528470478,0.004712712866113131,0.00358883657483391,0.0019796776885862787
fraudulent,0.05721827208315963,0.02593737582754639,0.006960979554534074,0.033238663978134624,0.02515510449630298
number,0.05718203505207466,0.07742872207498883,0.04818208456877498,0.06809845351187958,0.07795970737652766
late,0.05674039623572665,0.019822059575523257,0.06902178733452295,0.07312953282239441,0.007483181662856133
reported,0.05652297404921686,0.04690006649082945,0.019508037111837104,0.021890785088862292,0.011429339188771448
removed,0.053664778222390255,0.03740119751629195,0.012400055504598585,0.013349130437232674,0.006823289099994041
identity theft,0.05280188391967953,0.0345735826348706,0.0013921959109068148,0.005903133057670731,0.004104531741002218
loan,0.05276338207415175,0.05370551247662322,0.37927394315704227,0.008250970069244317,0.015956202170005405
credit bureau,0.05160379707943288,0.0432097894421948,0.012028226783052045,0.011157815893097328,0.0011746087618945253
opened,0.05104665272650154,0.02203622580470405,0.004946186714526075,0.02138767715781081,0.037666667488168264
would,0.050788463880021166,0.09287996000329805,0.19532249214635486,0.14534229119265057,0.1384850532422388
credit reporting,0.049549610379803925,0.03448731641814927,0.005655255439335757,0.005120520720479535,0.0004355290914889813
